filename	ATTRIBUTE_Sample_Type	ATTRIBUTE_Group			
S2G1_09_N.mzML	Sample	ADNL			
S2G1_15_L.mzML	Sample	ADL			
S2G1_08_N.mzML	Sample	ADNL			
S2G1_18_L.mzML	Sample	ADL			
S2G1_01_N.mzML	Sample	ADNL			
S2G1_18_N.mzML	Sample	ADNL			
S2G1_04_N.mzML	Sample	ADNL			
S2G1_36_L.mzML	Sample	ADL			
S2G1_05_L.mzML	Sample	ADL			
S2G1_01_L.mzML	Sample	ADL			
S2G1_08_L.mzML	Sample	ADL			
S2G1_09_L.mzML	Sample	ADL			
S2G1_24_L.mzML	Sample	ADL			
S1G1_42_N.mzML	Sample	ADNL			
S2G1_04_L.mzML	Sample	ADL			
S2G1_15_N.mzML	Sample	ADNL			
S2G1_05_N.mzML	Sample	ADNL			
S2G1_24_N.mzML	Sample	ADNL			
S2G1_41_N.mzML	Sample	ADNL			
S2G1_44_L.mzML	Sample	ADL			
S2G1_42_L.mzML	Sample	ADL			
S2G1_45_N.mzML	Sample	ADNL			
S2G1_41_L.mzML	Sample	ADL			
S2G1_44_N.mzML	Sample	ADNL			
S2G1_32_N.mzML	Sample	ADNL			
S2G1_48_L.mzML	Sample	ADL			
S2G1_51_L.mzML	Sample	ADL			
S2G1_36_N.mzML	Sample	ADNL			
S2G1_46_L.mzML	Sample	ADL			
S2G1_50_L.mzML	Sample	ADL			
S2G1_45_L.mzML	Sample	ADL			
S2G1_46_N.mzML	Sample	ADNL			
S2G1_47_L.mzML	Sample	ADL			
S2G1_54_N.mzML	Sample	ADNL			
S2G1_32_L.mzML	Sample	ADL			
S2G1_43_N.mzML	Sample	ADNL			
S2G1_47_N.mzML	Sample	ADNL			
S2G1_43_L.mzML	Sample	ADL			
S2G1_52_N.mzML	Sample	ADNL			
S2G1_48_N.mzML	Sample	ADNL			
S2G1_49_N.mzML	Sample	ADNL			
S2G1_51_N.mzML	Sample	ADNL			
S2G1_49_L.mzML	Sample	ADL			
S2G1_52_L.mzML	Sample	ADL			
S2G1_50_N.mzML	Sample	ADNL			
S2G1_54_L.mzML	Sample	ADL			
S2G1_53_N.mzML	Sample	ADNL			
S2G1_57_N.mzML	Sample	ADNL			
S2G1_53_L.mzML	Sample	ADL			
S2G1_57_L.mzML	Sample	ADL			
S2G1_55_L.mzML	Sample	ADL			
S2G1_56_N.mzML	Sample	ADNL			
S2G1_55_N.mzML	Sample	ADNL			
S2G1_60_L.mzML	Sample	ADL			
S2G1_60_N.mzML	Sample	ADNL			
S2G1_56_L.mzML	Sample	ADL			
S2G1_59_L.mzML	Sample	ADL			
S2G1_58_L.mzML	Sample	ADL			
S2G1_58_N.mzML	Sample	ADNL			
S2G1_59_N.mzML	Sample	ADNL			
S2G2_02_N.mzML	Sample	Heathly			
S2G2_06_N.mzML	Sample	Heathly			
S2G2_03_N.mzML	Sample	Heathly			
S2G2_07_N.mzML	Sample	Heathly			
S2G2_17_N.mzML	Sample	Heathly			
S2G2_13_N.mzML	Sample	Heathly			
S2G2_16_N.mzML	Sample	Heathly			
S2G2_20_N.mzML	Sample	Heathly			
S2G2_11_N.mzML	Sample	Heathly			
S2G2_12_N.mzML	Sample	Heathly			
S2G2_14_N.mzML	Sample	Heathly			
S2G2_10_N.mzML	Sample	Heathly			
S2G2_19_N.mzML	Sample	Heathly			
S2G2_30_N.mzML	Sample	Heathly			
S2G2_23_N.mzML	Sample	Heathly			
S2G2_22_N.mzML	Sample	Heathly			
S2G2_39_N.mzML	Sample	Heathly			
S2G2_26_N.mzML	Sample	Heathly			
S2G2_25_N.mzML	Sample	Heathly			
S2G2_27_N.mzML	Sample	Heathly			
S2G2_21_N.mzML	Sample	Heathly			
S2G2_28_N.mzML	Sample	Heathly			
S2G2_38_N.mzML	Sample	Heathly			
S2G2_29_N.mzML	Sample	Heathly			
S2G2_34_N.mzML	Sample	Heathly			
S2G2_35_N.mzML	Sample	Heathly			
S2G2_33_N.mzML	Sample	Heathly			
S2G2_31_N.mzML	Sample	Heathly			
S2G2_37_N.mzML	Sample	Heathly			
S2G2_40_N.mzML	Sample	Heathly			
Blank_solv_1.mzML	Blank	Blank			
Blank_solv_2.mzML	Blank	Blank			
Blank_solv_3.mzML	Blank	Blank			
Blank_solv_4.mzML	Blank	Blank			
Blank_solv_5.mzML	Blank	Blank			
Blank_solv_6.mzML	Blank	Blank			
Blank_solv_7.mzML	Blank	Blank			
Blank_solv_8.mzML	Blank	Blank			
Blank_solv_9.mzML	Blank	Blank			
Blank_solv_10.mzML	Blank	Blank			
Blank_solv_11.mzML	Blank	Blank			
Blank_solv_12.mzML	Blank	Blank			
